Act/Section,Final Judgment
Hindu Marriage Act,Desertion requirements for divorce were clearly defined to prevent misuse of legal provisions.
Muslim Personal Law,"The court stressed maintenance obligations under Shariah, ensuring financial security for divorced Muslim women."
Domestic Violence Act,A wife’s right to claim her Stridhan from the husband or in-laws was upheld.
Hindu Succession Act,"Daughters were granted equal rights in property, reinforcing gender equality."
IPC Section 498A,Courts were directed to scrutinize false dowry cases to prevent legal misuse.
Domestic Violence Act,"A wife was granted the right to reside in a shared household, regardless of ownership."
Hindu Marriage Act,"Divorce was granted due to mental harassment by in-laws, recognizing psychological abuse."
CrPC Section 125,A wife was allowed to live separately and still claim maintenance from her husband.
CrPC Section 125,Maintenance could not be denied solely because the husband was unemployed.
Hindu Marriage Act,Irretrievable breakdown of marriage was recommended as a valid ground for divorce.
Constitution (Article 21),"The right to privacy in marriage and personal affairs was upheld, preventing unwarranted interference."
CrPC Section 125,An employed wife was still eligible to claim maintenance under specific circumstances.
IPC Section 494,Bigamy needed to be proven with valid marriage evidence for legal consequences to apply.
Hindu Marriage Act,The husband's financial troubles did not exempt him from paying alimony.
Guardians and Wards Act,"An unmarried mother was granted sole custody of her child, ensuring the child’s welfare."
Prohibition of Child Marriage Act,"Child marriage was declared voidable, allowing the minor to repudiate the marriage upon adulthood."
Domestic Violence Act,"Mental harassment was recognized as domestic violence, broadening legal protections."
CrPC Section 125,"A daughter was entitled to maintenance from her father, ensuring financial security."
Hindu Marriage Act,"Adultery was proven, leading to the granting of a divorce to the aggrieved spouse."
Hindu Marriage Act,A wife’s right to a separate residence was upheld if she faced harassment.
Hindu Succession Act,"Children from live-in relationships were granted property rights, securing their inheritance."
Guardians and Wards Act,Custody was granted to the mother based on the child’s welfare and emotional needs.
Muslim Personal Law,"Instant triple talaq was declared unconstitutional, protecting Muslim women’s rights."
Hindu Succession Act,"Widows were granted full ownership of inherited property, securing their financial independence."
Hindu Succession Act,"A divorced woman was entitled to a share in the marital property, ensuring financial security post-divorce."
CrPC Section 125,"Maintenance was denied after remarriage, as the new marriage provided financial support."
Hindu Marriage Act,"Higher alimony was granted based on the husband’s salary, ensuring a fair standard of living for the dependent spouse."
Domestic Violence Act,"Men were recognized as victims of domestic violence, allowing them to seek legal protection and remedies."
Guardians and Wards Act,"Grandparents were granted visitation rights, ensuring the child's continued bond with extended family."
IPC Section 498A,"A penalty was imposed for filing false dowry cases, discouraging misuse of the legal system."
